Employee_ID,Age,Gender,Marital_Status,Department,Job_Role,Job_Level,Monthly_Income,Hourly_Rate,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Work_Life_Balance,Job_Satisfaction,Performance_Rating,Training_Hours_Last_Year,Overtime,Project_Count,Average_Hours_Worked_Per_Week,Absenteeism,Work_Environment_Satisfaction,Relationship_with_Manager,Job_Involvement,Distance_From_Home,Number_of_Companies_Worked,Attrition
1,58,Male,Single,Finance,Manager,5,7332,81,24,12,3,1,3,2,74,No,9,48,16,4,1,1,49,3,No
2,48,Female,Divorced,HR,Assistant,4,6069,55,18,7,5,1,2,2,24,Yes,9,57,10,4,1,1,25,1,No
3,34,Female,Married,Marketing,Manager,4,11485,65,6,4,3,4,5,1,63,Yes,3,55,1,1,4,3,21,1,Yes
4,27,Female,Divorced,HR,Manager,4,18707,28,12,9,1,1,1,2,4,No,9,53,2,3,4,1,46,2,No
5,40,Male,Married,HR,Analyst,1,16398,92,3,9,1,3,4,3,62,No,1,54,11,1,1,1,43,4,No
6,58,Male,Married,Finance,Executive,3,7305,63,25,2,3,4,5,3,84,No,1,42,11,2,3,4,4,3,Yes
7,38,Male,Married,Sales,Executive,5,15697,63,3,3,4,4,3,4,98,No,1,58,16,3,3,4,33,1,Yes
8,42,Female,Married,Marketing,Executive,1,14506,41,16,8,0,2,4,3,75,Yes,3,45,9,2,1,4,3,2,No
9,30,Female,Married,IT,Analyst,4,18105,95,17,10,2,2,3,3,51,Yes,8,42,4,3,3,1,39,4,No
10,30,Male,Divorced,Sales,Assistant,4,15745,53,16,14,4,1,4,3,45,Yes,6,41,12,4,2,1,1,4,No
11,43,Male,Divorced,IT,Manager,3,5601,87,13,3,7,1,4,3,76,Yes,7,58,9,1,4,3,34,4,No
12,55,Female,Single,Finance,Analyst,4,13023,50,25,4,3,2,1,3,66,Yes,6,43,7,3,1,4,10,2,Yes
13,59,Female,Married,Marketing,Assistant,5,17216,24,13,11,5,3,1,2,75,Yes,1,38,7,1,2,3,47,1,No
14,43,Female,Single,Finance,Analyst,2,19911,18,24,3,3,2,3,4,46,No,5,56,7,4,2,3,7,1,No
15,22,Female,Divorced,IT,Analyst,4,4411,99,12,12,4,2,2,2,33,No,7,36,13,4,1,1,22,3,Yes
16,41,Male,Single,HR,Assistant,3,19773,16,29,13,6,4,4,4,19,Yes,8,49,7,1,4,1,5,3,No
17,21,Female,Divorced,Finance,Executive,2,12417,93,2,14,7,2,1,4,38,Yes,5,41,5,1,4,3,16,2,No
18,43,Female,Married,Marketing,Manager,5,6792,42,26,2,9,4,2,4,51,No,8,54,5,4,2,4,41,4,No
19,49,Male,Single,Finance,Executive,5,12569,40,14,1,9,4,3,2,49,No,5,31,8,3,4,3,29,1,No
20,57,Male,Single,Sales,Analyst,5,3234,87,10,3,7,1,5,2,67,Yes,1,51,2,3,2,3,5,3,No
21,21,Female,Single,Finance,Assistant,3,19497,44,19,9,6,4,1,2,40,No,5,55,19,1,3,2,30,3,No
22,40,Male,Single,IT,Analyst,2,18317,23,23,14,3,2,4,3,42,No,1,40,18,1,3,2,34,1,No
23,52,Female,Married,Finance,Executive,5,6138,15,22,8,3,2,1,1,48,No,4,46,7,4,1,4,27,1,Yes
24,31,Female,Divorced,Marketing,Executive,4,8159,70,24,9,1,2,4,4,70,No,8,32,6,2,3,1,10,1,No
25,41,Male,Divorced,Finance,Executive,2,19794,70,26,10,8,2,1,1,46,No,6,52,12,2,4,4,48,4,No
26,44,Male,Married,Finance,Manager,5,8684,90,29,5,5,4,3,4,56,No,2,37,10,2,4,1,10,1,No
27,46,Female,Divorced,Marketing,Executive,2,12252,75,5,5,2,4,3,2,66,Yes,3,36,14,4,1,2,23,1,No
28,47,Male,Single,Finance,Manager,4,3066,59,16,14,2,3,3,4,45,Yes,1,45,18,4,2,1,6,3,No
29,35,Female,Married,Marketing,Manager,1,9546,27,5,8,0,3,3,1,40,No,6,55,2,4,3,4,27,2,No
30,34,Female,Divorced,IT,Executive,5,16985,28,2,14,1,1,3,1,76,No,6,42,9,2,2,3,14,3,No
31,22,Female,Married,Marketing,Assistant,4,11187,24,6,13,4,2,4,4,28,Yes,3,57,12,1,4,2,48,2,Yes
